word,rootsword1,rootsword2
singjay,sing,deejay
fourtino,four,plutino
paradessence,paradox,essence
Spansule,span,capsule
vodkatini,vodka,martini
gastrophysics,galaxy,astrophysics
goodput,good,throughput
tromboon,trombone,bassoon
hipsterati,hipster,literati
kytoon,kite,balloon
conifold,conic,manifold
pralidoxime,pyridine,aldoxime
surfari,surf,safari
crocoduck,crocodile,duck
chillstep,chill,dubstep
wackaging,wacky,packaging
sympitar,sympathetic,guitar
sextopia,sex,utopia
intervising,Internet,televising
glambassador,glamour,ambassador
glocalization,global,localization
playshop,play,workshop
twirties,twenties,thirties
topepo,tomato,pepper
infotopia,information,utopia
kapoof,kaput,poof
Eskaleutic,Eskimo,Aleutic
Veganuary,vegan,January
kimslaw,kimchi,coleslaw
learnfare,learn,welfare
brohawk,bro,Mohawk
helislab,helical,slab
cosmid,cos,plasmid
seastead,sea,homestead
churnover,churn,takeover
Japanoise,Japanese,noise
whooty,white,booty
biostitute,biology,prostitute
decaversary,decade,anniversary
teenophile,teen,paedophile
diplolingo,diplomat,lingo
Pestminster,pest,Westminster
Calpine,California,alpine
peptidome,peptide,genome
repunit,repeated,unit
gnarlsome,gnarly,awesome
fintech,finance,tech
celebretard,celebrity,retard
hyote,hyena,coyote
Britlish,British,English
haylage,hay,silage
condotel,condo,hotel
Floribama,Florida,Alabama
sexorcism,sex,exorcism
stonerific,stoner,terrific
steezy,style,easy
carbivore,carb,carnivore
tangemon,tangerine,lemon
bromantic,brother,romantic
arachnerd,arachnid,nerd
parafango,paraffin,fango
tutulemma,tutulma,analemma
yepperoni,yep,pepperoni
meacock,meek,peacock
pervaporation,permeation,evaporation
donkra,donkey,zebra
lunner,lunch,dinner
fleaker,flask,beaker
lettergram,letter,telegram
yakow,yak,cow
webfolio,Web,portfolio
landscraper,land,skyscraper
pornstache,porn,moustache
hypercane,hyper,hurricane
confuddle,confuse,befuddle
beergarita,beer,margarita
altazimuth,altitude,azimuth
Cincitucky,Cincinnati,Kentucky
vegeburger,vegetable,burger
subvertising,subvert,advertising
ricecel,rice,incel
terribad,terrible,bad
mantyhose,man,pantyhose
Sportianity,sport,Christianity
protomer,prototropy,tautomer
motelier,motel,hotelier
murbie,market,urbanist
slumburb,slum,suburb
linish,linen,finish
ukelin,ukelele,violin
bromantical,brother,romantical
fitspiration,fit,inspiration
Thronesiverse,thrones,universe
thumbboard,thumb,keyboard
barstaurant,bar,restaurant
bancorporation,bank,corporation
phallusy,phallus,fallacy
blognoscenti,blog,cognoscenti
rollick,roll,frolic
scrunge,scrounge,scrunch
brandscape,brand,landscape
firmographics,firm,demographics
pagejacking,page,hijacking
mumoir,mum,memoir
Jewtube,Jew,YouTube
cowhand,cow,hand
mecomtronics,mechanics,computers
wambulance,wah,ambulance
womanifesto,woman,manifesto
motopia,motor,utopia
sexcessory,sex,accessory
alphasort,alphabet,sort
protocoligorically,protocol,categorically
kegerator,keg,refrigerator
starchitecture,star,architecture
typosquatting,typo,cybersquatting
Amerenglish,American,English
shamburger,sham,hamburger
promission,pro,submission
wanksta,wannabe,gangsta
simplicate,simple,complicate
skeezy,sleazy,sketchy
compomer,composite,ionomer
smexting,smoking,texting
Pharmageddon,pharmaceutical,Armageddon
filmanthropy,film,philanthropy
Christlam,Christianity,Islam
dickture,dick,picture
pubcaster,public,broadcaster
abilitude,ability,aptitude
guanase,guanine,deaminase
warmist,warm,alarmist
fauxmance,faux,romance
psybient,psytrance,ambient
cuboctahedron,cube,octahedron
artotype,art,autotype
scratchiti,scratch,graffiti
jetiquette,jet,etiquette
inflammaging,inflammation,aging
broket,broken,bracket
perstraction,permeation,extraction
absitively,absolutely,positively
circumfetishist,circumcision,fetishist
Bluerina,blue,Amberina
bullgine,bull,engine
Remoaner,Remainer,moaner
probit,probability,unit
craptabulous,crap,fantabulous
indiglucin,indican,glucin
ShamWow,chamois,wow
plasteel,plastic,steel
cohog,quahog,quahog
webvertising,Web,advertising
spokesbear,spokesman,bear
lowline,low,slackline
crapplet,crap,applet
twigloo,twig,igloo
bicon,bisexual,icon
nonebrity,nonentity,celebrity
japow,Japan,pow
flubber,flying,rubber
bonerific,boner,terrific
posedown,pose,showdown
televisionary,television,visionary
malternative,malt,alternative
slowth,slouthe,slewthe
sportscaster,sports,broadcaster
slawdog,slaw,hotdog
genitorture,genital,torture
visioneering,vision,engineering
Maniloony,Manilow,loony
azaleamum,azalea,chrysanthemum
snottite,snot,stalactite
Retardican,retard,Republican
mingy,mean,stingy
yogasm,yoga,orgasm
halterkini,halter,bikini
snoozle,snooze,nuzzle
wraggle,wriggle,waggle
bodyjack,body,hijack
kiddiot,kid,idiot
snuzzle,snuggle,nuzzle
turken,turkey,chicken
gook,goop,gunk
priestianity,priest,Christianity
gription,grip,traction
eggnant,egg,pregnant
submarium,submarine,aquarium
vehophobia,vehicle,phobia
angledozer,angle,bulldozer
slingkini,slingshot,bikini
imesatin,imide,isatin
cankle,calf,ankle
bytesexual,byte,bisexual
servibar,service,bar
televangelize,television,evangelize
unipeg,unicorn,Pegasus
throuple,three,couple
tablebase,table,database
lesbionic,lesbian,bionic
docudramatize,docudrama,dramatize
helichopper,helicopter,chopper
tablemount,table,seamount
posilutely,positively,absolutely
rotamer,rotation,isomer
scruze,screw,squeeze
trimnasium,trim,gymnasium
wannarexic,wannabe,anorexic
velocipedestrienne,velocipede,pedestrienne
cannabisseur,cannabis,connoisseur
pelfie,petie
glucuronic,glucose,uronic
anthropornography,anthropomorphic,pornography
fauxtato,faux,potato
pancrelipase,pancreatic,lipase
fourpeat,four,repeat
dartist,dart,artist
satnav,satellite,navigation
fastpack,fast,backpack
sexsational,sex,sensational
troons,trousers,pantaloons
airbrasion,air,abrasion
clicktivist,click,activist
circumfetishism,circumcision,fetishism
sexploration,sex,exploration
thrillmance,thriller,romance
surgicenter,surgical,center
hurtcore,hurt,hardcore
deskercise,desk,exercise
dockominium,dock,condominium
womanipulation,woman,manipulation
pupperware,pup,Tupperware
fuckstrated,fuck,frustrated
hebra,horse,zebra
frings,fries,rings
brandjacking,brand,hijacking
grindie,grime,indie
landphoon,land,typhoon
workamping,work,camping
manzilian,man,Brazilian
luppie,lesbian,yuppie
mumfluencer,mum,influencer
plantibody,plant,antibody
squizzle,squirt,drizzle
plasticulture,plastic,agriculture
smirt,smoke,flirt
guncle,gay,uncle
wean,wenen,wennen
gaycist,gay,racist
wishcycling,wish,recycling
linel,line,voxel
mannuronic,mannose,uronic
shoefiti,shoe,graffiti
poopsicle,poop,popsicle
sweetmeal,sweet,wholemeal
woodcrete,wood,concrete
scienticomic,scientifiction,comic
splog,spam,blog
sexcellent,sex,excellent
transflective,transmissive,reflective
sexhibitionist,sex,exhibitionist
seggae,sega,reggae
hellfare,hell,welfare
bikeshed,bike,shed
endoleak,endovascular,leak
barristor,barrier,transistor
dystrochrept,dystrophic,ochrept
skeptimist,skeptic,optimist
melatonin,melanin,serotonin
Retrumplican,Republican,Trump
zebrass,zebra,ass
tobacconalian,tobacco,Bacchanalian
homeboy,hometown,boy
douchebro,douchebag,dudebro
argonium,argon,onium
galvanneal,galvanize,anneal
flexisexual,flexible,sexual
watercoaster,water,rollercoaster
nollie,nose,ollie
Nazionist,Nazi,Zionist
hoejabi,hoe,hijabi
twofie,twoie
fapstronaut,fap,astronaut
glindex,glossary,index
Amabot,Amazon,bot
chocnut,chocolate,peanut
sismantic,sis,romantic
futch,femme,butch
pectose,pectic,cellulose
Twitterati,twitter,literati
shellfishing,shellfish,fishing
vertilinear,vertical,linear
orthonormal,orthogonal,normal
machinofacture,machine,manufacture
entreprenerd,entrepreneur,nerd
preferendum,prefer,referendum
squaffle,squash,waffle
Finglish,Finnish,English
sickular,sick,secular
motorail,motor,rail
violaniline,violet,aniline
daffynition,daffy,definition
brainordinate,brain,coordinate
tesseral,tessara,numeral
mogas,motorcar,gasoline
helplessdesk,helpless,helpdesk
spinternet,spin,Internet
currycel,curry,incel
threadjacking,thread,hijacking
chifforobe,chiffonier,wardrobe
devilock,devil,lock
trumpophone,trumpet,saxophone
anthropologian,anthropologist,theologian
volumetrics,volume,metrics
guybrows,guy,eyebrows
memcomputer,mem,computer
washlet,wash,toilet
spunk,spark,funk
pivalaldehyde,pivalic,aldehyde
acafan,academic,fan
downcycle,down,recycle
grocerant,grocery,restaurant
housebuilder,house,builder
ciphony,cipher,telephony
whitewishing,whitewashing,wishing
autocade,auto,cavalcade
finickity,finicky,pernickety
helldesk,hell,helpdesk
thoughtography,thought,photography
zebrule,zebra,mule
Fappening,fap,happening
bandkini,bandeau,bikini
aquacade,aqua,cavalcade
fipo,first,post
sidequel,side,sequel
cinnamaverine,cinnamyl,papaverine
bitnik,bit,beatnik
intimatopia,intimate,utopia
celebreality,celebrity,reality
funemployed,fun,unemployed
Blatino,black,Latino
communiversity,community,university
varray,variable,array
blogography,blog,biography
clearomizer,clear,atomizer
prequential,predictive,sequential
tradigital,traditional,digital
commognition,communication,cognition
earcon,ear,icon
bulimorexia,bulimia,anorexia
Wimbleware,Wimbledon,Edgware
parkitecture,park,architecture
waterfrontage,waterfront,frontage
manshake,man,handshake
Chrislam,Christian,Islam
Euramerica,Europe,America
alternarock,alternative,rock
Rastaman,Rastafari,man
plastiglass,plastic,glass
volunpeer,volunteer,peer
heartistic,heart,artistic
privatopia,private,utopia
velocipedestrian,velocipede,pedestrian
dipshidiot,dipshit,idiot
multinacci,multiple,Fibonacci
puccalo,pucker,piccolo
dykon,dyke,icon
alphamerical,alphabetical,numerical
conreport,convention,report
